SunPartnerID,SunUID,SunName,SunPeriode,SunFrankenRegel,SunInfoJaNein,SunInfoTageimVoraus,SunNetzkostenNE5,SunNetzkostenNE6,SunNetzkostenNE7,SunProdukteAnzahl,SunProdukteAuswahl,SunRechtzeitig,SunSAIDItotal,SunSAIDIungeplant,SunSAIFItotal,SunSAIFIungeplant,SunTarifEC2,SunTarifEC3,SunTarifEC4,SunTarifEC6,SunTarifEH2,SunTarifEH4,SunTarifEH7,SunTarifNC2,SunTarifNC3,SunTarifNC4,SunTarifNC6,SunTarifNH2,SunTarifNH4,SunTarifNH7
497,CHE-116.273.975,Elektrokorporation Wald - St. Peterzell,2024,-123.49099137931036,Ja,5,10300,9.96473988,10966.27778,3,Ja,0,,,,,13.5,13.399999999999999,13.399999999999999,12,14,14,14,6.63,6.0844,5.92032,3.8956,13.35,11.216666666666667,9.473076923076922
691,CHE-345.543.043,Eli10 SA,2024,89.90339653228081,Ja,1,9969.93865,0,19765.75783,2,Nein,1,,,,,21.040000000000003,20.296666666666663,19.982,20.122666666666667,21.040000000000003,21.040000000000003,19.545199999999998,13.25,10.490633333333333,9.90799,9.960363333333333,16.55,14.950000000000001,12.212153846153845
556,CHE-114.571.930,EnBAG Netze AG,2024,75,Ja,2,11381.90967,11.78277131,10205.6375,3,Nein,0,10.4584592932,7.8790089996,0.1918760207,0.1578581605,18.21975,18.446238666666666,18.1420522,,18.151,18.13242222222222,18.643367384615384,10.848333333333333,10.885333333333332,10.0064,,13.616,12.260666666666665,9.950153846153848
431,CHE-107.893.647,endigo Holding AG,2024,24.86464169861398,Ja,7,12445.97993,8.722178843,10221.32925,1,keine Angabe,1,,,,,9.317781944444445,9.33836111111111,9.197316666666666,,9.2668,9.24638888888889,9.030384615384616,10.2327375,10.663013888888889,10.002358333333333,,13.1876,11.644166666666667,9.893461538461539
504,CHE-109.287.239,EnerCom Kirchberg AG,2024,74.62697233447311,Ja,10,16373.0483,10.42669891,10263.33477,1,Nein,1,,,,,18,17.919999999999998,17.906000000000002,0,19.1,18.566666666666666,18.130769230769232,10.6,12.2,11.62,7.662,15,12.866666666666665,11.123076923076923
505,CHE-112.166.151,energia alpina,2024,74.78584237578526,Ja,5,12414.56046,9.91811082,10952.53048,1,Nein,1,,,,,13.613133333333332,12.617333333333333,12.6806,0,13.4008,13.356888888888887,12.748000000000001,10.839666666666668,11.41,11.038,8.482,15.158,13.007777777777779,11.03
841,CHE-110.637.346,Energia del Moesano SA,2024,,,,10.03738544,NaN,NaN,,,0,,,,,,,,,,,,,,,,,,
406,CHE-403.681.208,Energia Samedan,2024,42.749707145646234,Ja,3,9727.699333,8.932646516,9100.539412,3,Ja,0,,,,,17.7,18.055,17.701,18.055,17.7,17.7,17.7,10.32,12.077666666666666,11.3822,10.006333333333332,13.84,12.133333333333335,10.73846153846154
507,CHE-102.720.123,Energie AG Sumiswald,2024,74.38954125046244,Ja,7,6583.144493,12.2402188,6899.672713,4,Ja,1,,,,,17.87725,17.886666666666667,0,0,17.745714285714286,17.743650793650794,17.67348901098901,13.132333333333332,12.736666666666666,12.236,7.692,17.812857142857144,15.28015873015873,12.936263736263736
525,CHE-110.206.006,Energie Belp AG,2024,74.55116041453802,Ja,7,15685.89054,8.843682588,16357.57113,2,Ja,1,,,,,17.150000000000002,17.150000000000002,17.150000000000002,17.150000000000002,17.15,17.15,17.15,12.47,13.29,12.722000000000001,8.59,17.09,14.85,12.819230769230769
73,CHE-108.470.597,Energie Freiamt AG,2024,74.44330385344283,Ja,10,29344.60266,2.324713303,11331.83728,2,Ja,1,,,,,22.72,22,22,21.88,22.72,22.72,22.72,11.585049999999999,10.258000000000001,9.4804,7.6415555555555565,15.312000000000001,13.202388888888889,11.14726923076923
424,CHE-115.584.036,Energie Gossau AG,2024,75,Ja,7,9116.239409,12.54949914,23525.26942,3,Nein,1,,,,,19.40725,18.836,18.7051,,18.955714285714286,18.965476190476192,18.786263736263738,10.987400000000001,9.688,8.85905,,12.983714285714285,11.513809523809524,9.863186813186813
312,CHE-136.210.765,Energie Grosshöchstetten AG,2024,74.68575418994413,Ja,14,13325.80932,11.45092526,8730.4542,3,Nein,0,,,,,27.9,27.9,27.9,,27.9,27.9,27.9,10.549999999999999,11.19,10.602,,14.950000000000001,12.816666666666666,10.457692307692309
437,CHE-432.239.470,Energie Grüningen AG,2024,75,Ja,7,12434.49896,29.75957833,27208.43523,4,Nein,1,,,,,19.597783333333332,19.048000000000002,18.7743,,18.905428571428573,18.920396825396825,18.645604395604394,12.39,12.09,11.338,,15.030000000000001,13.75,12.81153846153846
750,CHE-378.786.227,Energie Hunzenschwil AG (ENH),2024,73.7563775510204,Ja,5,27788.07098,6.435008707,13103.32602,3,Nein,1,,,,,18.2,18.766666666666666,18.475,17.804222222222222,18.2,18.2,18.2,12.35,12.376666666666667,11.693,8.870422222222222,16.75,14.616666666666667,12.873076923076923
150,CHE-115.306.879,Energie Kestenholz,2024,73.87613636363636,Ja,10,0,0,9277.983368,1,,1,,,,,22.5,22.5,22.5,,22.499999999999996,22.499999999999996,22.499999999999996,11.690000000000001,13.35,10.17,,14.33,13.05,12.003846153846155
751,CHE-113.520.433,"Energie Kreuzlingen, Stadt Kreuzlingen",2024,63.4526686884003,Ja,1,23289.38267,16.48612333,19281.43753,5,Nein,0,,,,,16.604509873833333,16.1428588,15.45940253,15.176748427555555,14.896932145714285,14.933848851587301,14.256119082417582,13.511079312833333,12.917191079999998,11.678865043,8.816238149666667,16.553647254285714,14.90452237063492,12.517668686813186
80,CHE-145.457.218,Energie Münchenbuchsee AG,2024,71.56488719309887,Ja,7,18142.27188,11.17142814,17061.50187,3,Nein,1,,,,,18.13318611111111,15.9835,15.590950000000001,15.907300000000001,17.9228,17.91211111111111,17.548673076923077,14.15378888888889,15.95,15.33,14.66,18.7436,16.384222222222224,14.034076923076922
839,CHE-384.428.919,Energie Oberes Fricktal AG,2024,75,Ja,14,9523.369978,1.666418506,9655.00687,3,Nein,0,,,,,15,15,15,15,15,15,15,8.58725,9.55,9.29,7.710000000000001,16.446,12.593333333333334,9.27923076923077
